"Fecha y Hora  del hecho","Fecha del hecho","Hora del hecho (HH:MM)","Dia de la Semana","Genero","Comuna","Modalidad","Arma/medio","Móvil agresor","Móvil víctima","Edad","Descripcion Conducta"
"2022 Jan 01 03:30:00 AM","2022 Jan 01 12:00:00 AM","1899-12-31T03:30:00.000","sábado","Masculino","6","Factor de oportunidad","Sin empleo de arma","A pie","Conductor vehículo","38","Hurto a personas"
"2022 Jan 02 12:00:00 AM","2022 Jan 02 12:00:00 AM","1899-12-31T00:00:00.000","domingo","Femenino","3","Raponazo","Sin empleo de arma","A pie","A pie","45","Hurto a personas"
"2022 Jan 02 06:00:00 PM","2022 Jan 02 12:00:00 AM","1899-12-31T18:00:00.000","domingo","Masculino","6","Atraco","Arma de fuego","Pasajero motocicleta","A pie","73","Hurto a personas"
"2022 Jan 02 06:00:00 PM","2022 Jan 02 12:00:00 AM","1899-12-31T18:00:00.000","domingo","Masculino","7","Atraco","Arma de fuego","Pasajero motocicleta","Conductor vehículo","53","Hurto a personas"
"2022 Jan 02 07:30:00 PM","2022 Jan 02 12:00:00 AM","1899-12-31T19:30:00.000","domingo","Masculino","5","Atraco","Arma blanca","Pasajero motocicleta","Conductor motocicleta","64","Hurto a personas"
"2022 Jan 03 01:00:00 AM","2022 Jan 03 12:00:00 AM","1899-12-31T01:00:00.000","lunes","Femenino","3","Raponazo","Sin empleo de arma","Conductor motocicleta","Conductor motocicleta","22","Hurto a personas"
"2022 Jan 03 06:00:00 AM","2022 Jan 03 12:00:00 AM","1899-12-31T06:00:00.000","lunes","Femenino","4","Raponazo","Sin empleo de arma","A pie","Conductor vehículo","43","Hurto a personas"
"2022 Jan 03 07:00:00 AM","2022 Jan 03 12:00:00 AM","1899-12-31T07:00:00.000","lunes","Femenino","7","Atraco","Arma de fuego","Pasajero motocicleta","A pie","41","Hurto a personas"
"2022 Jan 03 10:30:00 AM","2022 Jan 03 12:00:00 AM","1899-12-31T10:30:00.000","lunes","Masculino","2","Raponazo","Sin empleo de arma","Pasajero motocicleta","Conductor motocicleta","36","Hurto a personas"
"2022 Jan 03 01:30:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T13:30:00.000","lunes","Femenino","4","Raponazo","Sin empleo de arma","A pie","A pie","37","Hurto a personas"
"2022 Jan 03 03:30:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T15:30:00.000","lunes","Femenino","9","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","76","Hurto a personas"
"2022 Jan 03 04:30:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T16:30:00.000","lunes","Masculino","6","Atraco","Arma de fuego","Pasajero motocicleta","Conductor motocicleta","55","Hurto a personas"
"2022 Jan 03 08:00:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T20:00:00.000","lunes","Masculino","7","Atraco","Arma blanca","A pie","A pie","32","Hurto a personas"
"2022 Jan 03 11:00:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T23:00:00.000","lunes","Masculino","6","Factor de oportunidad","Sin empleo de arma","A pie","A pie","23","Hurto a personas"
"2022 Jan 04 01:30:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T01:30:00.000","martes","Masculino","8","Atraco","Arma blanca","Pasajero motocicleta","Conductor motocicleta","27","Hurto a personas"
"2022 Jan 04 02:30:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T02:30:00.000","martes","Masculino","4","Factor de oportunidad","Sin empleo de arma","A pie","A pie","54","Hurto a personas"
"2022 Jan 04 05:30:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T05:30:00.000","martes","Femenino","10","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","55","Hurto a personas"
"2022 Jan 04 05:30:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T05:30:00.000","martes","Femenino","6","Atraco","Arma blanca","Pasajero motocicleta","Conductor motocicleta","53","Hurto a personas"
"2022 Jan 04 11:45:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T11:45:00.000","martes","Femenino","2","Atraco","Sin empleo de arma","A pie","A pie","28","Hurto a personas"
"2022 Jan 04 05:00:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T17:00:00.000","martes","Femenino","5","Raponazo","Sin empleo de arma","Pasajero motocicleta","Conductor motocicleta","39","Hurto a personas"
"2022 Jan 04 05:00:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T17:00:00.000","martes","Femenino","6","Atraco","Arma blanca","Conductor motocicleta","A pie","18","Hurto a personas"
"2022 Jan 04 06:30:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T18:30:00.000","martes","Femenino","4","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","48","Hurto a personas"
"2022 Jan 04 06:30:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T18:30:00.000","martes","Femenino","10","Atraco","Arma de fuego","Pasajero motocicleta","A pie","69","Hurto a personas"
"2022 Jan 04 08:13:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T20:13:00.000","martes","Masculino","5","Rompimiento de vidrio","Contundente","A pie","A pie","37","Hurto a personas"
"2022 Jan 05 03:00:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T03:00:00.000","miércoles","Femenino","4","Factor de oportunidad","Sin empleo de arma","A pie","A pie","54","Hurto a personas"
"2022 Jan 05 06:00:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T06:00:00.000","miércoles","Femenino","4","Factor de oportunidad","Sin empleo de arma","A pie","A pie","38","Hurto a personas"
"2022 Jan 05 06:00:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T06:00:00.000","miércoles","Masculino","9","Atraco","Arma blanca","A pie","A pie","29","Hurto a personas"
"2022 Jan 05 08:00:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T08:00:00.000","miércoles","Femenino","7","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","27","Hurto a personas"
"2022 Jan 05 08:30:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T08:30:00.000","miércoles","Femenino","10","Atraco","Arma de fuego","A pie","A pie","34","Hurto a personas"
"2022 Jan 05 10:30:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T10:30:00.000","miércoles","Femenino","4","Raponazo","Sin empleo de arma","Conductor motocicleta","Conductor motocicleta","53","Hurto a personas"
"2022 Jan 05 10:45:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T10:45:00.000","miércoles","Masculino","1","Factor de oportunidad","Sin empleo de arma","A pie","A pie","48","Hurto a personas"
"2022 Jan 05 11:00:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T11:00:00.000","miércoles","Femenino","4","Factor de oportunidad","Sin empleo de arma","A pie","A pie","38","Hurto a personas"
"2022 Jan 05 04:45:00 PM","2022 Jan 05 12:00:00 AM","1899-12-31T16:45:00.000","miércoles","Masculino","8","Atraco","Arma de fuego","Pasajero motocicleta","Conductor motocicleta","49","Hurto a personas"
"2022 Jan 05 08:00:00 PM","2022 Jan 05 12:00:00 AM","1899-12-31T20:00:00.000","miércoles","Masculino","9","Atraco","Arma blanca","A pie","A pie","31","Hurto a personas"
"2022 Jan 05 10:00:00 PM","2022 Jan 05 12:00:00 AM","1899-12-31T22:00:00.000","miércoles","Masculino","4","Factor de oportunidad","Sin empleo de arma","A pie","A pie","27","Hurto a personas"
"2022 Jan 06 07:30:00 AM","2022 Jan 06 12:00:00 AM","1899-12-31T07:30:00.000","jueves","Femenino","3","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","60","Hurto a personas"
"2022 Jan 06 09:00:00 AM","2022 Jan 06 12:00:00 AM","1899-12-31T09:00:00.000","jueves","Femenino","4","Engaño","Sin empleo de arma","A pie","A pie","70","Hurto a personas"
"2022 Jan 06 09:30:00 AM","2022 Jan 06 12:00:00 AM","1899-12-31T09:30:00.000","jueves","Femenino","1","Raponazo","Sin empleo de arma","A pie","Pasajero vehículo","48","Hurto a personas"
"2022 Jan 06 10:45:00 AM","2022 Jan 06 12:00:00 AM","1899-12-31T10:45:00.000","jueves","Femenino","1","Atraco","Arma de fuego","Pasajero motocicleta","Pasajero motocicleta","20","Hurto a personas"
"2022 Jan 06 11:00:00 AM","2022 Jan 06 12:00:00 AM","1899-12-31T11:00:00.000","jueves","Femenino","1","Atraco","Arma de fuego","Conductor motocicleta","A pie","38","Hurto a personas"
"2022 Jan 06 01:30:00 PM","2022 Jan 06 12:00:00 AM","1899-12-31T13:30:00.000","jueves","Masculino","5","Atraco","Arma de fuego","Pasajero motocicleta","Conductor motocicleta","26","Hurto a personas"
"2022 Jan 06 08:00:00 PM","2022 Jan 06 12:00:00 AM","1899-12-31T20:00:00.000","jueves","Masculino","3","Atraco","Arma blanca","A pie","A pie","56","Hurto a personas"
"2022 Jan 06 08:30:00 PM","2022 Jan 06 12:00:00 AM","1899-12-31T20:30:00.000","jueves","Masculino","3","Atraco","Arma de fuego","Pasajero motocicleta","Conductor vehículo","39","Hurto a personas"
"2022 Jan 07 03:00:00 AM","2022 Jan 07 12:00:00 AM","1899-12-31T03:00:00.000","viernes","Femenino","4","Cosquilleo","Sin empleo de arma","A pie","A pie","77","Hurto a personas"
"2022 Jan 07 09:30:00 AM","2022 Jan 07 12:00:00 AM","1899-12-31T09:30:00.000","viernes","Femenino","4","Atraco","Arma blanca","A pie","A pie","32","Hurto a personas"
"2022 Jan 07 01:30:00 PM","2022 Jan 07 12:00:00 AM","1899-12-31T13:30:00.000","viernes","Femenino","1","Atraco","Arma blanca","Pasajero motocicleta","A pie","55","Hurto a personas"
"2022 Jan 07 04:00:00 PM","2022 Jan 07 12:00:00 AM","1899-12-31T16:00:00.000","viernes","Masculino","8","Atraco","Arma de fuego","Pasajero motocicleta","A pie","24","Hurto a personas"
"2022 Jan 07 06:30:00 PM","2022 Jan 07 12:00:00 AM","1899-12-31T18:30:00.000","viernes","Masculino","6","Raponazo","Sin empleo de arma","Pasajero motocicleta","Conductor motocicleta","28","Hurto a personas"
"2022 Jan 07 07:30:00 PM","2022 Jan 07 12:00:00 AM","1899-12-31T19:30:00.000","viernes","Masculino","1","Rompimiento de vidrio","Contundente","A pie","A pie","43","Hurto a personas"
"2022 Jan 07 08:00:00 PM","2022 Jan 07 12:00:00 AM","1899-12-31T20:00:00.000","viernes","Femenino","1","Atraco","Arma blanca","Pasajero motocicleta","A pie","29","Hurto a personas"
"2022 Jan 08 01:30:00 AM","2022 Jan 08 12:00:00 AM","1899-12-31T01:30:00.000","sábado","Masculino","3","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","49","Hurto a personas"
"2022 Jan 08 02:00:00 AM","2022 Jan 08 12:00:00 AM","1899-12-31T02:00:00.000","sábado","Masculino","7","Atraco","Arma de fuego","Pasajero motocicleta","Bicilceta","51","Hurto a personas"
"2022 Jan 08 08:30:00 AM","2022 Jan 08 12:00:00 AM","1899-12-31T08:30:00.000","sábado","Femenino","6","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","35","Hurto a personas"
"2022 Jan 08 08:30:00 AM","2022 Jan 08 12:00:00 AM","1899-12-31T08:30:00.000","sábado","Masculino","4","Raponazo","Sin empleo de arma","Pasajero motocicleta","Pasajero vehículo","27","Hurto a personas"
"2022 Jan 08 01:30:00 PM","2022 Jan 08 12:00:00 AM","1899-12-31T13:30:00.000","sábado","Femenino","4","Factor de oportunidad","Sin empleo de arma","A pie","Conductor vehículo","37","Hurto a personas"
"2022 Jan 08 06:00:00 PM","2022 Jan 08 12:00:00 AM","1899-12-31T18:00:00.000","sábado","Masculino","1","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","53","Hurto a personas"
"2022 Jan 08 08:00:00 PM","2022 Jan 08 12:00:00 AM","1899-12-31T20:00:00.000","sábado","Femenino","7","Atraco","Arma de fuego","Pasajero motocicleta","Conductor vehículo","45","Hurto a personas"
"2022 Jan 08 08:00:00 PM","2022 Jan 08 12:00:00 AM","1899-12-31T20:00:00.000","sábado","Masculino","8","Atraco","Arma de fuego","A pie","A pie","55","Hurto a personas"
"2022 Jan 09 02:30:00 AM","2022 Jan 09 12:00:00 AM","1899-12-31T02:30:00.000","domingo","Masculino","6","Atraco","Arma blanca","Pasajero motocicleta","Conductor motocicleta","42","Hurto a personas"
"2022 Jan 09 03:00:00 AM","2022 Jan 09 12:00:00 AM","1899-12-31T03:00:00.000","domingo","Masculino","8","Atraco","Arma blanca","A pie","A pie","59","Hurto a personas"
"2022 Jan 09 05:30:00 AM","2022 Jan 09 12:00:00 AM","1899-12-31T05:30:00.000","domingo","Femenino","6","Atraco","Arma de fuego","Conductor motocicleta","Conductor motocicleta","39","Hurto a personas"
"2022 Jan 09 09:30:00 AM","2022 Jan 09 12:00:00 AM","1899-12-31T09:30:00.000","domingo","Femenino","2","Atraco","Arma blanca","Pasajero motocicleta","A pie","25","Hurto a personas"
"2022 Jan 09 10:30:00 PM","2022 Jan 09 12:00:00 AM","1899-12-31T22:30:00.000","domingo","Femenino","7","Atraco","Arma de fuego","Pasajero motocicleta","A pie","34","Hurto a personas"
"2022 Jan 10 07:30:00 AM","2022 Jan 10 12:00:00 AM","1899-12-31T07:30:00.000","lunes","Masculino","6","Atraco","Arma de fuego","Conductor motocicleta","A pie","41","Hurto a personas"
"2022 Jan 10 09:00:00 AM","2022 Jan 10 12:00:00 AM","1899-12-31T09:00:00.000","lunes","Masculino","4","Atraco","Arma de fuego","A pie","A pie","23","Hurto a personas"
"2022 Jan 10 12:30:00 PM","2022 Jan 10 12:00:00 AM","1899-12-31T12:30:00.000","lunes","Femenino","3","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","34","Hurto a personas"
"2022 Jan 10 05:00:00 PM","2022 Jan 10 12:00:00 AM","1899-12-31T17:00:00.000","lunes","Femenino","2","Atraco","Arma blanca","A pie","A pie","5","Hurto a personas"
"2022 Jan 10 05:00:00 PM","2022 Jan 10 12:00:00 AM","1899-12-31T17:00:00.000","lunes","Femenino","2","Atraco","Arma blanca","A pie","A pie","29","Hurto a personas"
"2022 Jan 10 06:00:00 PM","2022 Jan 10 12:00:00 AM","1899-12-31T18:00:00.000","lunes","Masculino","El caguán","Factor de oportunidad","Sin empleo de arma","Pasajero motocicleta","A pie","35","Hurto a personas"
"2022 Jan 11 02:30:00 AM","2022 Jan 11 12:00:00 AM","1899-12-31T02:30:00.000","martes","Femenino","6","Raponazo","Sin empleo de arma","Pasajero motocicleta","Pasajero motocicleta","59","Hurto a personas"
"2022 Jan 11 03:30:00 AM","2022 Jan 11 12:00:00 AM","1899-12-31T03:30:00.000","martes","Femenino","4","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","57","Hurto a personas"
"2022 Jan 11 04:30:00 AM","2022 Jan 11 12:00:00 AM","1899-12-31T04:30:00.000","martes","Femenino","4","Raponazo","Sin empleo de arma","Pasajero motocicleta","Conductor motocicleta","22","Hurto a personas"
"2022 Jan 11 05:00:00 AM","2022 Jan 11 12:00:00 AM","1899-12-31T05:00:00.000","martes","Masculino","6","Factor de oportunidad","Sin empleo de arma","A pie","A pie","Sin dato","Hurto a personas"
"2022 Jan 11 01:00:00 PM","2022 Jan 11 12:00:00 AM","1899-12-31T13:00:00.000","martes","Masculino","7","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","71","Hurto a personas"
"2022 Jan 11 03:00:00 PM","2022 Jan 11 12:00:00 AM","1899-12-31T15:00:00.000","martes","Femenino","2","Raponazo","Sin empleo de arma","Pasajero motocicleta","Pasajero motocicleta","20","Hurto a personas"
"2022 Jan 11 03:06:00 PM","2022 Jan 11 12:00:00 AM","1899-12-31T15:06:00.000","martes","Femenino","4","Factor de oportunidad","Sin empleo de arma","A pie","A pie","35","Hurto a personas"
"2022 Jan 11 04:30:00 PM","2022 Jan 11 12:00:00 AM","1899-12-31T16:30:00.000","martes","Femenino","6","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","27","Hurto a personas"
"2022 Jan 11 05:30:00 PM","2022 Jan 11 12:00:00 AM","1899-12-31T17:30:00.000","martes","Femenino","8","Atraco","Arma de fuego","Pasajero motocicleta","Conductor motocicleta","64","Hurto a personas"
"2022 Jan 11 06:00:00 PM","2022 Jan 11 12:00:00 AM","1899-12-31T18:00:00.000","martes","Femenino","5","Factor de oportunidad","Sin empleo de arma","A pie","A pie","27","Hurto a personas"
"2022 Jan 11 06:30:00 PM","2022 Jan 11 12:00:00 AM","1899-12-31T18:30:00.000","martes","Masculino","10","Engaño","Sin empleo de arma","Bicilceta","Bicilceta","39","Hurto a personas"
"2022 Jan 12 01:00:00 AM","2022 Jan 12 12:00:00 AM","1899-12-31T01:00:00.000","miércoles","Femenino","2","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","19","Hurto a personas"
"2022 Jan 12 09:30:00 AM","2022 Jan 12 12:00:00 AM","1899-12-31T09:30:00.000","miércoles","Masculino","8","Atraco","Arma de fuego","A pie","Conductor motocicleta","45","Hurto a personas"
"2022 Jan 12 12:00:00 PM","2022 Jan 12 12:00:00 AM","1899-12-31T12:00:00.000","miércoles","Femenino","4","Atraco","Arma de fuego","Pasajero motocicleta","Conductor motocicleta","33","Hurto a personas"
"2022 Jan 12 01:00:00 PM","2022 Jan 12 12:00:00 AM","1899-12-31T13:00:00.000","miércoles","Femenino","5","Atraco","Arma blanca","Pasajero motocicleta","A pie","29","Hurto a personas"
"2022 Jan 12 03:00:00 PM","2022 Jan 12 12:00:00 AM","1899-12-31T15:00:00.000","miércoles","Femenino","6","Factor de oportunidad","Sin empleo de arma","A pie","A pie","42","Hurto a personas"
"2022 Jan 12 04:00:00 PM","2022 Jan 12 12:00:00 AM","1899-12-31T16:00:00.000","miércoles","Femenino","10","Cosquilleo","Sin empleo de arma","A pie","A pie","19","Hurto a personas"
"2022 Jan 12 04:30:00 PM","2022 Jan 12 12:00:00 AM","1899-12-31T16:30:00.000","miércoles","Femenino","3","Atraco","Arma de fuego","Pasajero motocicleta","A pie","29","Hurto a personas"
"2022 Jan 12 07:00:00 PM","2022 Jan 12 12:00:00 AM","1899-12-31T19:00:00.000","miércoles","Femenino","6","Raponazo","Sin empleo de arma","A pie","Pasajero bus","24","Hurto a personas"
"2022 Jan 12 07:00:00 PM","2022 Jan 12 12:00:00 AM","1899-12-31T19:00:00.000","miércoles","Masculino","6","Raponazo","Sin empleo de arma","Conductor motocicleta","Conductor motocicleta","45","Hurto a personas"
"2022 Jan 12 07:30:00 PM","2022 Jan 12 12:00:00 AM","1899-12-31T19:30:00.000","miércoles","Femenino","2","Atraco","Arma de fuego","Pasajero motocicleta","A pie","21","Hurto a personas"
"2022 Jan 13 05:33:00 AM","2022 Jan 13 12:00:00 AM","1899-12-31T05:33:00.000","jueves","Femenino","3","Atraco","Arma blanca","A pie","A pie","35","Hurto a personas"
"2022 Jan 13 08:55:00 AM","2022 Jan 13 12:00:00 AM","1899-12-31T08:55:00.000","jueves","Masculino","1","Factor de oportunidad","Sin empleo de arma","A pie","A pie","30","Hurto a personas"
"2022 Jan 13 11:05:00 AM","2022 Jan 13 12:00:00 AM","1899-12-31T11:05:00.000","jueves","Femenino","6","Raponazo","Sin empleo de arma","Pasajero motocicleta","Pasajero motocicleta","49","Hurto a personas"
"2022 Jan 13 12:30:00 PM","2022 Jan 13 12:00:00 AM","1899-12-31T12:30:00.000","jueves","Femenino","9","Raponazo","Sin empleo de arma","Pasajero motocicleta","Conductor motocicleta","51","Hurto a personas"
"2022 Jan 13 05:30:00 PM","2022 Jan 13 12:00:00 AM","1899-12-31T17:30:00.000","jueves","Masculino","2","Atraco","Arma de fuego","Pasajero motocicleta","A pie","28","Hurto a personas"
"2022 Jan 13 06:30:00 PM","2022 Jan 13 12:00:00 AM","1899-12-31T18:30:00.000","jueves","Masculino","6","Atraco","Arma de fuego","Pasajero motocicleta","Conductor motocicleta","46","Hurto a personas"
"2022 Jan 13 07:30:00 PM","2022 Jan 13 12:00:00 AM","1899-12-31T19:30:00.000","jueves","Masculino","3","Factor de oportunidad","Sin empleo de arma","A pie","A pie","48","Hurto a personas"
"2022 Jan 13 09:00:00 PM","2022 Jan 13 12:00:00 AM","1899-12-31T21:00:00.000","jueves","Femenino","3","Atraco","Arma blanca","Pasajero motocicleta","A pie","40","Hurto a personas"
"2022 Jan 14 01:00:00 AM","2022 Jan 14 12:00:00 AM","1899-12-31T01:00:00.000","viernes","Femenino","9","Atraco","Arma de fuego","Pasajero motocicleta","A pie","34","Hurto a personas"
"2022 Jan 14 04:00:00 AM","2022 Jan 14 12:00:00 AM","1899-12-31T04:00:00.000","viernes","Femenino","6","Factor de oportunidad","Sin empleo de arma","Pasajero bus","Pasajero bus","28","Hurto a personas"
"2022 Jan 14 09:30:00 AM","2022 Jan 14 12:00:00 AM","1899-12-31T09:30:00.000","viernes","Masculino","6","Atraco","Arma blanca","A pie","A pie","32","Hurto a personas"
"2022 Jan 14 10:30:00 AM","2022 Jan 14 12:00:00 AM","1899-12-31T10:30:00.000","viernes","Femenino","3","Atraco","Arma de fuego","Pasajero motocicleta","A pie","49","Hurto a personas"
"2022 Jan 14 07:00:00 PM","2022 Jan 14 12:00:00 AM","1899-12-31T19:00:00.000","viernes","Femenino","4","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","19","Hurto a personas"
"2022 Jan 14 11:30:00 PM","2022 Jan 14 12:00:00 AM","1899-12-31T23:30:00.000","viernes","Masculino","5","Atraco","Arma de fuego","Pasajero motocicleta","A pie","30","Hurto a personas"
"2022 Jan 15 05:30:00 AM","2022 Jan 15 12:00:00 AM","1899-12-31T05:30:00.000","sábado","Masculino","5","Raponazo","Sin empleo de arma","Pasajero motocicleta","Conductor motocicleta","37","Hurto a personas"
"2022 Jan 15 08:30:00 AM","2022 Jan 15 12:00:00 AM","1899-12-31T08:30:00.000","sábado","Femenino","5","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","57","Hurto a personas"
"2022 Jan 15 08:30:00 AM","2022 Jan 15 12:00:00 AM","1899-12-31T08:30:00.000","sábado","Femenino","3","Raponazo","Sin empleo de arma","Pasajero motocicleta","Pasajero motocicleta","Sin dato","Hurto a personas"
"2022 Jan 15 09:00:00 AM","2022 Jan 15 12:00:00 AM","1899-12-31T09:00:00.000","sábado","Femenino","4","Atraco","Arma de fuego","Pasajero motocicleta","A pie","29","Hurto a personas"
"2022 Jan 15 12:30:00 PM","2022 Jan 15 12:00:00 AM","1899-12-31T12:30:00.000","sábado","Femenino","9","Raponazo","Sin empleo de arma","Pasajero motocicleta","Conductor motocicleta","27","Hurto a personas"
"2022 Jan 15 12:30:00 PM","2022 Jan 15 12:00:00 AM","1899-12-31T12:30:00.000","sábado","Masculino","6","Raponazo","Sin empleo de arma","Conductor motocicleta","Pasajero motocicleta","20","Hurto a personas"
"2022 Jan 15 02:30:00 PM","2022 Jan 15 12:00:00 AM","1899-12-31T14:30:00.000","sábado","Masculino","6","Atraco","Arma blanca","A pie","A pie","47","Hurto a personas"
"2022 Jan 15 07:00:00 PM","2022 Jan 15 12:00:00 AM","1899-12-31T19:00:00.000","sábado","Femenino","7","Atraco","Arma de fuego","Conductor motocicleta","A pie","20","Hurto a personas"
"2022 Jan 15 07:30:00 PM","2022 Jan 15 12:00:00 AM","1899-12-31T19:30:00.000","sábado","Femenino","2","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","38","Hurto a personas"
"2022 Jan 15 08:00:00 PM","2022 Jan 15 12:00:00 AM","1899-12-31T20:00:00.000","sábado","Femenino","6","Atraco","Arma de fuego","A pie","A pie","34","Hurto a personas"
"2022 Jan 15 08:30:00 PM","2022 Jan 15 12:00:00 AM","1899-12-31T20:30:00.000","sábado","Masculino","3","Atraco","Arma de fuego","Pasajero motocicleta","A pie","18","Hurto a personas"
"2022 Jan 15 09:30:00 PM","2022 Jan 15 12:00:00 AM","1899-12-31T21:30:00.000","sábado","Femenino","4","Factor de oportunidad","Sin empleo de arma","Conductor vehículo","A pie","55","Hurto a personas"
"2022 Jan 15 11:00:00 PM","2022 Jan 15 12:00:00 AM","1899-12-31T23:00:00.000","sábado","Masculino","6","Atraco","Arma blanca","Pasajero motocicleta","Conductor vehículo","25","Hurto a personas"
"2022 Jan 16 01:00:00 AM","2022 Jan 16 12:00:00 AM","1899-12-31T01:00:00.000","domingo","Masculino","5","Atraco","Arma blanca","Pasajero motocicleta","Conductor motocicleta","34","Hurto a personas"
"2022 Jan 16 01:30:00 AM","2022 Jan 16 12:00:00 AM","1899-12-31T01:30:00.000","domingo","Femenino","2","Atraco","Arma blanca","A pie","A pie","36","Hurto a personas"
"2022 Jan 16 03:20:00 AM","2022 Jan 16 12:00:00 AM","1899-12-31T03:20:00.000","domingo","Masculino","6","Factor de oportunidad","Sin empleo de arma","A pie","A pie","35","Hurto a personas"
"2022 Jan 16 07:00:00 AM","2022 Jan 16 12:00:00 AM","1899-12-31T07:00:00.000","domingo","Femenino","2","Factor de oportunidad","Sin empleo de arma","Pasajero motocicleta","A pie","29","Hurto a personas"
"2022 Jan 16 08:00:00 PM","2022 Jan 16 12:00:00 AM","1899-12-31T20:00:00.000","domingo","Femenino","5","Atraco","Arma de fuego","Pasajero motocicleta","Conductor motocicleta","34","Hurto a personas"
"2022 Jan 16 08:00:00 PM","2022 Jan 16 12:00:00 AM","1899-12-31T20:00:00.000","domingo","Masculino","6","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","61","Hurto a personas"
"2022 Jan 16 09:00:00 PM","2022 Jan 16 12:00:00 AM","1899-12-31T21:00:00.000","domingo","Masculino","5","Atraco","Arma de fuego","Pasajero motocicleta","A pie","18","Hurto a personas"
"2022 Jan 17 06:00:00 AM","2022 Jan 17 12:00:00 AM","1899-12-31T06:00:00.000","lunes","Femenino","4","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","40","Hurto a personas"
"2022 Jan 17 05:30:00 PM","2022 Jan 17 12:00:00 AM","1899-12-31T17:30:00.000","lunes","Masculino","8","Atraco","Arma de fuego","Pasajero motocicleta","Conductor vehículo","29","Hurto a personas"
"2022 Jan 17 07:30:00 PM","2022 Jan 17 12:00:00 AM","1899-12-31T19:30:00.000","lunes","Femenino","6","Atraco","Arma de fuego","Pasajero motocicleta","A pie","23","Hurto a personas"
"2022 Jan 17 08:00:00 PM","2022 Jan 17 12:00:00 AM","1899-12-31T20:00:00.000","lunes","Femenino","4","Raponazo","Sin empleo de arma","Conductor motocicleta","Conductor vehículo","53","Hurto a personas"
"2022 Jan 17 08:30:00 PM","2022 Jan 17 12:00:00 AM","1899-12-31T20:30:00.000","lunes","Femenino","5","Atraco","Arma de fuego","Conductor motocicleta","A pie","29","Hurto a personas"
"2022 Jan 17 08:30:00 PM","2022 Jan 17 12:00:00 AM","1899-12-31T20:30:00.000","lunes","Femenino","3","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","27","Hurto a personas"
"2022 Jan 17 11:15:00 PM","2022 Jan 17 12:00:00 AM","1899-12-31T23:15:00.000","lunes","Femenino","5","Atraco","Arma blanca","A pie","Conductor motocicleta","30","Hurto a personas"
"2022 Jan 18 12:30:00 AM","2022 Jan 18 12:00:00 AM","1899-12-31T00:30:00.000","martes","Femenino","4","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","61","Hurto a personas"
"2022 Jan 18 02:00:00 AM","2022 Jan 18 12:00:00 AM","1899-12-31T02:00:00.000","martes","Masculino","6","Atraco","Arma blanca","Pasajero motocicleta","A pie","55","Hurto a personas"
"2022 Jan 18 07:00:00 AM","2022 Jan 18 12:00:00 AM","1899-12-31T07:00:00.000","martes","Femenino","2","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","42","Hurto a personas"
